"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I000008531191-00","大阪狭山市史","第7巻 (別巻 石造物編)","大阪狭山市","大阪狭山市",2006,"大阪府","大阪狭山市",,0,34.503769,135.556046
"https://iss.ndl.go.jp/books/R100000002-I000008554148-00","平塚の石仏","5 (大野地区編)","石仏を調べる会","平塚市博物館",2006,"神奈川県","平塚市",,0,35.335331,139.349594
"https://iss.ndl.go.jp/books/R100000002-I000008576206-00","串木野市の石造物等 : 手作り",,"串木野郷土史研究会","串木野郷土史研究会",2006,"鹿児島県","いちき串木野市","串木野市",1,31.714439,130.271667
"https://iss.ndl.go.jp/books/R100000002-I000008476052-00","幸手の石造物","3(吉田地区 2)","幸手市教育委員会","幸手市教育委員会",2007,"埼玉県","幸手市",,0,36.078362,139.72522
"https://iss.ndl.go.jp/books/R100000002-I000008570490-00","民間信仰石仏調査報告書","平成18年度","北秋田市教育委員会","北秋田市教育委員会",2007,"秋田県","北秋田市",,0,40.22612,140.370667
"https://iss.ndl.go.jp/books/R100000002-I000008915736-00","ちちぶ学セミナー専門講座レポート集 : 秩父の石仏採訪コース・秩父の祭りを探るコース",,"秩父市","秩父市",2007,"埼玉県","秩父市",,0,35.991428,139.086044
"https://iss.ndl.go.jp/books/R100000002-I000008938200-00","石見銀山 : 温泉津地区の石造物分布調査と西念寺墓地悉皆調査",1,"島根県教育委員会","島根県教育委員会",2007,"島根県",,,0,35.47345,133.050873
"https://iss.ndl.go.jp/books/R100000002-I000009008085-00","街道の石 : よつかいどう石造物マップ",,"四街道市教育委員会","四街道市教育委員会社会教育課",2007,"千葉県","四街道市",,0,35.66246,140.180176
"https://iss.ndl.go.jp/books/R100000002-I000009082739-00","宝仙寺の金石文",,"宮野, 純光","明王山宝仙寺",2007,"東京都","中野区",,1,35.707561,139.663849
"https://iss.ndl.go.jp/books/R100000002-I000009152091-00","高尾山の記念碑・石仏",,"県, 敏夫","高尾山薬王院",2007,"東京都","八王子市",,1,35.666451,139.316284
